,DOCU
Price/Earnings (TTM),
Price/Sales (TTM),3.9543
Price/Book (MRQ),22.69906
Price/Cash Flow (TTM),
5yr Low,35.06
5yr High,314.76
5yr Avg Return,0.38408000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.407512
Dividend Growth 5yr,
Short Int Current Month,12792494.0
Short Int Prev Month,15815371.0
Short Int Pct of Float,0.0646831
Days to Cover,2.29942
Float,197.7915
Shares Outstanding,200.7793
Institutions Holding Shares,997.0
% Held by Institutions,0.734824
FCF Growth 5yr,0.06229110164019117
