,DOCU
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.16201117318435754
Growth 1yr High Est,-0.08823529411764708
Growth 1yr Consensus Est,-0.1251232336510023
Growth 2yr Low Est,-0.017672253258845416
Growth 2yr High Est,0.11448450347881084
Growth 2yr Consensus Est,0.04840612510998271
Growth 5yr Low Est,-0.017672253258845416
Growth 5yr High Est,0.11448450347881084
Growth 5yr Consensus Est,0.04840612510998271
Growth 5yr Actual/Est,0.7705034213098729
Growth 3yr Historic,0.7758064516129032
