,DOCU
% Above Low,0.16329999999999997
% Held by Institutions,0.7348
52-Wk Range,['39.57 - 257.48']
Annual Dividend $,
Annual Dividend %,
Ask,46.02
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,45.87
Bid Size,200.0
Closing Price,46.03
Day Change $,-0.32
Day Change %,-0.0069
Day High,46.06
Day Low,44.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.9670000000000001
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,9.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,46.35
Shares Outstanding,200.8M
Short Interest,0.0647
Today's Open,46.05
Volume,1558134.0
Volume 10-day Avg,4480423.0
Volume Past Day,(Light)
