,ARCB
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,3.4788273615635186
Growth 1yr High Est,3.229166666666667
Growth 1yr Consensus Est,3.3539970141150928
Growth 2yr Low Est,1.592140953509032
Growth 2yr High Est,1.5473771405113772
Growth 2yr Consensus Est,1.5697590470102045
Growth 5yr Low Est,1.0614273023393548
Growth 5yr High Est,1.031584760340918
Growth 5yr Consensus Est,1.0465060313401364
Growth 5yr Actual/Est,0.5484676795249671
Growth 3yr Historic,0.43982466890264876
