,ARCB
% Above Low,0.2466
% Held by Institutions,0.8813
52-Wk Range,['65.16 - 125.00']
Annual Dividend $,0.48
Annual Dividend %,0.0059
Ask,81.74
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,80.7
Bid Size,100.0
Closing Price,81.22
Day Change $,-0.55
Day Change %,-0.0067
Day High,82.22
Day Low,81.11
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",12.66
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.541
Last (size),588.0
Last (time),12:59p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.41
Prev Close,81.77
Shares Outstanding,24.4M
Short Interest,0.0601
Today's Open,81.87
Volume,47087.0
Volume 10-day Avg,158578.0
Volume Past Day,(Light)
