,ARCB
Price/Earnings (TTM),6.41382
Price/Sales (TTM),0.37668
Price/Book (MRQ),1.76006
Price/Cash Flow (TTM),4.27008
5yr Low,13.54
5yr High,125.0
5yr Avg Return,0.2922333333333333
EPS Growth 5yr,0.624404
Revenue Growth 5yr,0.08068289999999999
Dividend Growth 5yr,0.0
Short Int Current Month,1437283.0
Short Int Prev Month,1600610.0
Short Int Pct of Float,0.0601368
Days to Cover,6.41172
Float,24.03293
Shares Outstanding,24.41788
Institutions Holding Shares,346.0
% Held by Institutions,0.881264
FCF Growth 5yr,-1.556879395784606
