,CC
Price/Earnings (TTM),5.84555
Price/Sales (TTM),0.70361
Price/Book (MRQ),3.90804
Price/Cash Flow (TTM),4.12257
5yr Low,7.02
5yr High,54.62
5yr Avg Return,-0.032716666666666665
EPS Growth 5yr,1.483343
Revenue Growth 5yr,0.0327794
Dividend Growth 5yr,0.5281421000000001
Short Int Current Month,5048739.0
Short Int Prev Month,4765314.0
Short Int Pct of Float,0.0338367
Days to Cover,3.95441
Float,149.2975
Shares Outstanding,150.9177
Institutions Holding Shares,605.0
% Held by Institutions,0.7425109999999999
FCF Growth 5yr,-0.5204838740142607
