,CC
% Above Low,0.45299999999999996
% Held by Institutions,0.7425
52-Wk Range,['22.56 - 44.95']
Annual Dividend $,1.0
Annual Dividend %,0.0305
Ask,34.37
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.9
Bid,31.31
Bid Size,300.0
Closing Price,32.78
Day Change $,-0.06
Day Change %,-0.0018
Day High,32.84
Day Low,32.27
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.61
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.525
Last (size),911.0
Last (time),5:00p ET 11/25/22
Market Cap,4.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.85
Prev Close,32.84
Shares Outstanding,150.9M
Short Interest,0.0338
Today's Open,32.64
Volume,608179.0
Volume 10-day Avg,1129346.0
Volume Past Day,(Light)
