,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,2.51,,,2.32,,2.69,,2.505,2.51,,
Year ending 12/2020,Positive Surprise,1.98,,-0.2111553784860557,,0.0,,0.0,1.77,1.98,-0.2111553784860557,0.0
Year ending 12/2021,Neutral,4.0,,1.0202020202020203,3.95,0.7025862068965518,4.18,0.553903345724907,4.0649999999999995,4.0,1.0202020202020203,0.6282447763107294
Year ending 12/2022,Neutral,,4.96,0.0,4.84,0.2253164556962024,5.2,0.2440191387559809,4.96,4.96,0.24,0.23466779722609166
Year ending 12/2023,Neutral,,4.58,0.0,3.43,-0.29132231404958675,5.08,-0.023076923076923106,4.58,4.58,-0.07661290322580638,-0.15719961856325493
