,AME
Price/Earnings (TTM),29.16448
Price/Sales (TTM),5.43108
Price/Book (MRQ),4.5904
Price/Cash Flow (TTM),22.69439
5yr Low,54.82
5yr High,148.07
5yr Avg Return,0.13943333333333333
EPS Growth 5yr,0.141806
Revenue Growth 5yr,0.0763061
Dividend Growth 5yr,0.1731607
Short Int Current Month,2190258.0
Short Int Prev Month,2066889.0
Short Int Pct of Float,0.0095902
Days to Cover,1.72001
Float,228.5368
Shares Outstanding,229.6544
Institutions Holding Shares,1033.0
% Held by Institutions,0.8729290000000001
FCF Growth 5yr,0.3799190319200448
