,AME
% Below High,0.0371
% Held by Institutions,0.8729
52-Wk Range,['106.17 - 148.07']
Annual Dividend $,0.88
Annual Dividend %,0.0062
Ask,143.18
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,109.2
Bid Size,100.0
Closing Price,142.57
Day Change $,0.49
Day Change %,0.0034000000000000002
Day High,143.07
Day Low,141.95
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",4.89
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.24600000000000002
Last (size),5700.0
Last (time),5:00p ET 11/25/22
Market Cap,32.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.16
Prev Close,142.08
Shares Outstanding,229.7M
Short Interest,0.0096
Today's Open,142.59
Volume,359948.0
Volume 10-day Avg,874740.0
Volume Past Day,(Light)
