,UBER
% Above Low,0.39530000000000004
% Held by Institutions,0.7097
52-Wk Range,['19.90 - 45.90']
Annual Dividend $,
Annual Dividend %,
Ask,27.88
Ask Size,1800.0
B/A Ratio,0.05555555555555555
B/A Size,100x1800
Beta,1.1
Bid,27.75
Bid Size,100.0
Closing Price,27.76
Day Change $,-0.74
Day Change %,-0.026000000000000002
Day High,28.66
Day Low,27.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.51
Ex-dividend Date,No dividend
Historical Volatility,0.6509999999999999
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,55.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.5
Shares Outstanding,2.0B
Short Interest,0.0235
Today's Open,28.11
Volume,11126985.0
Volume 10-day Avg,21267196.0
Volume Past Day,(Light)
