,UBER
Price/Earnings (TTM),
Price/Sales (TTM),1.95678
Price/Book (MRQ),9.08056
Price/Cash Flow (TTM),
5yr Low,13.71
5yr High,64.05
5yr Avg Return,-0.033024999999999985
EPS Growth 5yr,
Revenue Growth 5yr,0.35333309999999996
Dividend Growth 5yr,
Short Int Current Month,46378722.0
Short Int Prev Month,46811179.0
Short Int Pct of Float,0.023455499999999997
Days to Cover,1.33765
Float,1987.814
Shares Outstanding,1994.407
Institutions Holding Shares,1399.0
% Held by Institutions,0.709652
FCF Growth 5yr,-2.6465711726495504
