,UBER
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.43614457831325293
Growth 1yr High Est,0.23123123123123102
Growth 1yr Consensus Est,0.33368790477224197
Growth 2yr Low Est,-0.12420959003800441
Growth 2yr High Est,-0.4502380429209699
Growth 2yr Consensus Est,-0.28722381647948714
Growth 5yr Low Est,-0.18873975340187973
Growth 5yr High Est,-0.2994861100680799
Growth 5yr Consensus Est,-0.24411293173497983
Growth 5yr Actual/Est,0.4848183429971768
Growth 3yr Historic,-0.2935297832355649
