,ERAS
% Above Low,0.5543
% Held by Institutions,0.7822
52-Wk Range,['4.51 - 16.69']
Annual Dividend $,
Annual Dividend %,
Ask,7.16
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,5.75
Bid Size,200.0
Closing Price,7.01
Day Change $,0.0
Day Change %,0.0
Day High,7.46
Day Low,6.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.15
Ex-dividend Date,No dividend
Historical Volatility,0.798
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,857.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.01
Shares Outstanding,122.4M
Short Interest,0.1704
Today's Open,7.01
Volume,227619.0
Volume 10-day Avg,686129.0
Volume Past Day,(Light)
