,CMAX
% Above Low,0.1937
% Held by Institutions,0.7195999999999999
52-Wk Range,['3.45 - 9.23']
Annual Dividend $,
Annual Dividend %,
Ask,4.21
Ask Size,200.0
B/A Ratio,4.5
B/A Size,900x200
Beta,
Bid,3.51
Bid Size,900.0
Closing Price,4.12
Day Change $,0.01
Day Change %,0.0024
Day High,4.15
Day Low,3.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.8890000000000001
Last (size),29.0
Last (time),12:59p ET 11/25/22
Market Cap,456.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.11
Shares Outstanding,110.9M
Short Interest,0.0641
Today's Open,4.08
Volume,62714.0
Volume 10-day Avg,788105.0
Volume Past Day,(Light)
