,CMAX
Price/Earnings (TTM),
Price/Sales (TTM),0.61533
Price/Book (MRQ),0.76742
Price/Cash Flow (TTM),
5yr Low,3.45
5yr High,18.42
5yr Avg Return,-0.13216666666666668
Short Int Current Month,3217524.0
Short Int Prev Month,4390597.0
Short Int Pct of Float,0.0641378
Days to Cover,7.55891
Float,53.66028
Shares Outstanding,87.39697
Institutions Holding Shares,113.0
% Held by Institutions,0.7196370000000001
FCF Growth 5yr,0.3812933505328426
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
