,HLLY
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.640625
Growth 1yr High Est,-0.5694444444444444
Growth 1yr Consensus Est,-0.6050347222222222
Growth 2yr Low Est,-0.18987771739130443
Growth 2yr High Est,0.15076164874551967
Growth 2yr Consensus Est,-0.01955803432289238
Growth 5yr Low Est,-0.18987771739130443
Growth 5yr High Est,0.15076164874551967
Growth 5yr Consensus Est,-0.01955803432289238
Growth 5yr Actual/Est,-0.045088566827697296
Growth 3yr Historic,0.0
