,HLLY
% Above Low,0.1528
% Held by Institutions,0.8782
52-Wk Range,['2.29 - 14.68']
Annual Dividend $,
Annual Dividend %,
Ask,2.7
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,2.32
Bid Size,100.0
Closing Price,2.64
Day Change $,-0.03
Day Change %,-0.011200000000000002
Day High,2.71
Day Low,2.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.784
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,312.2M
"P/E Ratio (TTM, GAAP)",4.33
Prev Close,2.67
Shares Outstanding,118.2M
Short Interest,0.06269999999999999
Today's Open,2.7
Volume,104868.0
Volume 10-day Avg,1283739.0
Volume Past Day,(Light)
