,HLLY
Price/Earnings (TTM),4.33305
Price/Sales (TTM),0.43717
Price/Book (MRQ),0.73938
Price/Cash Flow (TTM),3.20784
5yr Low,2.29
5yr High,14.68
5yr Avg Return,-0.1598666666666667
Short Int Current Month,3094265.0
Short Int Prev Month,4252152.0
Short Int Pct of Float,0.06270629999999999
Days to Cover,2.87588
Float,107.1598
Shares Outstanding,118.2418
Institutions Holding Shares,144.0
% Held by Institutions,0.878177
FCF Growth 5yr,-0.028998042909478234
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
