,ADS
Price/Earnings (TTM),4.84547
Price/Sales (TTM),0.48817
Price/Book (MRQ),0.82121
Price/Cash Flow (TTM),4.09168
5yr Low,20.51
5yr High,278.33
5yr Avg Return,-0.22885000000000003
EPS Growth 5yr,0.1654332
Revenue Growth 5yr,-0.1252963
Dividend Growth 5yr,0.1006651
Short Int Current Month,3780359.0
Short Int Prev Month,3039567.0
Short Int Pct of Float,0.076206
Days to Cover,2.10823
Float,49.63303
Shares Outstanding,49.85307
Institutions Holding Shares,373.0
% Held by Institutions,0.967792
FCF Growth 5yr,0.21624240436220732
