,ADS
% Above Low,0.3712
% Held by Institutions,0.9678
52-Wk Range,['28.85 - 76.50']
Annual Dividend $,0.84
Annual Dividend %,0.0212
Ask,45.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.0
Bid,14.59
Bid Size,100.0
Closing Price,39.56
Day Change $,-0.07
Day Change %,-0.0018
Day High,39.76
Day Low,39.36
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",8.16
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.527
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",4.85
Prev Close,39.63
Shares Outstanding,49.9M
Short Interest,0.0762
Today's Open,39.76
Volume,146877.0
Volume 10-day Avg,615273.0
Volume Past Day,(Light)
