,HPQ
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.22029702970297027
Growth 1yr High Est,-0.15853658536585358
Growth 1yr Consensus Est,-0.18941680753441192
Growth 2yr Low Est,-0.13871994342291366
Growth 2yr High Est,0.04971721456345002
Growth 2yr Consensus Est,-0.04450136442973182
Growth 5yr Low Est,0.12875090921978513
Growth 5yr High Est,0.22473771753317562
Growth 5yr Consensus Est,0.1767443133764804
Growth 5yr Actual/Est,0.16448625727330773
Growth 3yr Historic,0.18469946303754115
