,HPQ
% Above Low,0.2523
% Held by Institutions,0.8
52-Wk Range,['24.08 - 41.47']
Annual Dividend $,1.05
Annual Dividend %,0.0348
Ask,31.99
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,1.0
Bid,30.15
Bid Size,400.0
Closing Price,30.15
Day Change $,0.24
Day Change %,0.008
Day High,30.74
Day Low,29.71
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.418
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,30.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.01
Prev Close,29.91
Shares Outstanding,1.0B
Short Interest,0.0361
Today's Open,29.8
Volume,5959306.0
Volume 10-day Avg,10710836.0
Volume Past Day,(Light)
