,HPQ
Price/Earnings (TTM),10.00508
Price/Sales (TTM),0.48154
Price/Book (MRQ),
Price/Cash Flow (TTM),7.61463
5yr Low,12.54
5yr High,41.47
5yr Avg Return,0.07868333333333333
EPS Growth 5yr,0.1549912
Revenue Growth 5yr,0.0388444
Dividend Growth 5yr,0.1350469
Short Int Current Month,36247821.0
Short Int Prev Month,31907922.0
Short Int Pct of Float,0.0361
Days to Cover,4.20142
Float,1004.174
Shares Outstanding,1005.939
Institutions Holding Shares,1371.0
% Held by Institutions,0.799956
FCF Growth 5yr,0.4247964387450691
