,APP
% Above Low,0.0785
% Held by Institutions,0.4878
52-Wk Range,['13.00 - 99.29']
Annual Dividend $,
Annual Dividend %,
Ask,14.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,13.83
Bid Size,100.0
Closing Price,14.02
Day Change $,-0.08
Day Change %,-0.005699999999999999
Day High,14.71
Day Low,13.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.23
Ex-dividend Date,No dividend
Historical Volatility,0.845
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.1
Shares Outstanding,371.7M
Short Interest,0.1475
Today's Open,13.87
Volume,884645.0
Volume 10-day Avg,3898404.0
Volume Past Day,(Light)
