,APP
Price/Earnings (TTM),
Price/Sales (TTM),1.79185
Price/Book (MRQ),2.76876
Price/Cash Flow (TTM),10.87608
5yr Low,13.0
5yr High,116.09
5yr Avg Return,-0.2529
Short Int Current Month,17821023.0
Short Int Prev Month,15031017.0
Short Int Pct of Float,0.1475397
Days to Cover,3.91897
Float,181.0805
Shares Outstanding,371.6896
Institutions Holding Shares,319.0
% Held by Institutions,0.487799
FCF Growth 5yr,-0.6033691254279491
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
