,HUN
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.049180327868852514
Growth 1yr High Est,0.08219178082191791
Growth 1yr Consensus Est,0.06568605434538521
Growth 2yr Low Est,-0.1394723360655738
Growth 2yr High Est,0.06641234610716151
Growth 2yr Consensus Est,-0.03652999497920614
Growth 5yr Low Est,0.8445184426229506
Growth 5yr High Est,0.8696717228015997
Growth 5yr Consensus Est,0.8570950827122751
Growth 5yr Actual/Est,0.5119084750087705
Growth 3yr Historic,0.5631919434440443
