,HUN
% Above Low,0.2161
% Held by Institutions,0.8820999999999999
52-Wk Range,['23.54 - 41.65']
Annual Dividend $,0.85
Annual Dividend %,0.0297
Ask,30.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,20.05
Bid Size,100.0
Closing Price,28.62
Day Change $,0.05
Day Change %,0.0018
Day High,28.91
Day Low,28.43
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",5.35
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.374
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,5.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.35
Prev Close,28.57
Shares Outstanding,192.1M
Short Interest,0.022099999999999998
Today's Open,28.49
Volume,712327.0
Volume 10-day Avg,2053399.0
Volume Past Day,(Light)
