,RPRX
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.07272727272727275
Growth 1yr High Est,0.27491408934707895
Growth 1yr Consensus Est,0.17382068103717585
Growth 2yr Low Est,0.10246533127889057
Growth 2yr High Est,0.18732227378405164
Growth 2yr Consensus Est,0.1448938025314711
Growth 5yr Low Est,0.13009183004799607
Growth 5yr High Est,0.17343794630222864
Growth 5yr Consensus Est,0.15176488817511236
Growth 5yr Actual/Est,0.14114541277799683
Growth 3yr Historic,0.06420765027322406
