,RPRX
Price/Earnings (TTM),37.0546
Price/Sales (TTM),11.61391
Price/Book (MRQ),4.24219
Price/Cash Flow (TTM),28.83064
5yr Low,34.8
5yr High,56.5
5yr Avg Return,0.0013333333333333316
Short Int Current Month,5674570.0
Short Int Prev Month,6652708.0
Short Int Pct of Float,0.0175712
Days to Cover,3.62487
Float,164.951
Shares Outstanding,607.2218
Institutions Holding Shares,483.0
% Held by Institutions,0.6723680000000001
FCF Growth 5yr,-1.2258671052070864
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
