,RPRX
% Below High,0.039900000000000005
% Held by Institutions,0.6724
52-Wk Range,['36.15 - 44.75']
Annual Dividend $,0.76
Annual Dividend %,0.0177
Ask,42.97
Ask Size,400.0
B/A Ratio,1.75
B/A Size,700x400
Beta,
Bid,42.95
Bid Size,700.0
Day Change $,-0.015
Day Change %,-0.0003
Day High,43.08
Day Low,42.68
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.16
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.247
Last (size),1.0
Last (time),1:16p ET 11/28/22
Market Cap,19.0B
"P/E Ratio (TTM, GAAP)",37.05
Prev Close,42.98
Price,42.97
Shares Outstanding,442.8M
Short Interest,0.0176
Today's Open,42.84
Volume Past Day,(Light)
