,INVA
% Above Low,0.1275
% Held by Institutions,1.0953
52-Wk Range,['11.57 - 20.71']
Annual Dividend $,
Annual Dividend %,
Ask,13.52
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.6
Bid,12.9
Bid Size,200.0
Closing Price,13.04
Day Change $,0.02
Day Change %,0.0015
Day High,13.22
Day Low,13.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.19
Ex-dividend Date,No dividend
Historical Volatility,0.35100000000000003
Last (size),957.0
Last (time),1:00p ET 11/25/22
Market Cap,910.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.09
Prev Close,13.02
Shares Outstanding,69.8M
Short Interest,0.1494
Today's Open,13.0
Volume,262262.0
Volume 10-day Avg,642005.0
Volume Past Day,(Light)
