,INVA
Price/Earnings (TTM),4.08927
Price/Sales (TTM),2.43819
Price/Book (MRQ),1.41865
Price/Cash Flow (TTM),2.59852
5yr Low,7.58
5yr High,20.71
5yr Avg Return,0.023749999999999997
EPS Growth 5yr,0.42803759999999996
Revenue Growth 5yr,0.2401847
Dividend Growth 5yr,
Short Int Current Month,10336042.0
Short Int Prev Month,10022218.0
Short Int Pct of Float,0.149372
Days to Cover,18.69447
Float,69.19541
Shares Outstanding,69.78319
Institutions Holding Shares,302.0
% Held by Institutions,1.095259
FCF Growth 5yr,0.054577214091544445
