,PRPL
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6060606060606061
Growth 2yr High Est,-1.074074074074074
Growth 2yr Consensus Est,-0.84006734006734
Growth 5yr Low Est,-0.6060606060606061
Growth 5yr High Est,-1.074074074074074
Growth 5yr Consensus Est,-0.84006734006734
Growth 5yr Actual/Est,-0.26823378234668555
Growth 3yr Historic,0.28273809523809523
