,PRPL
Price/Earnings (TTM),
Price/Sales (TTM),0.67718
Price/Book (MRQ),1.68749
Price/Cash Flow (TTM),
5yr Low,2.65
5yr High,41.08
5yr Avg Return,0.25836666666666663
Short Int Current Month,6101865.0
Short Int Prev Month,6937306.0
Short Int Pct of Float,0.0676799
Days to Cover,4.6834
Float,90.16002
Shares Outstanding,91.82845
Institutions Holding Shares,159.0
% Held by Institutions,0.908457
FCF Growth 5yr,-0.05158180415498318
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
