,PRPL
% Above Low,0.6509
% Held by Institutions,0.9085
52-Wk Range,['2.65 - 14.15']
Annual Dividend $,
Annual Dividend %,
Ask,4.38
Ask Size,800.0
B/A Ratio,1.25
B/A Size,1000x800
Beta,1.5
Bid,4.37
Bid Size,1000.0
Day Change $,-0.175
Day Change %,-0.0385
Day High,4.67
Day Low,4.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.6
Ex-dividend Date,No dividend
Historical Volatility,1.051
Last (size),100.0
Last (time),11:36a ET 11/28/22
Market Cap,399.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,4.55
Price,4.38
Shares Outstanding,91.4M
Short Interest,0.0677
Today's Open,4.55
Volume Past Day,(Light)
