,MGI
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-22.0
Growth 1yr High Est,13.0
Growth 1yr Consensus Est,-4.5
Growth 2yr Low Est,-10.785714285714286
Growth 2yr High Est,6.714285714285714
Growth 2yr Consensus Est,-2.035714285714286
Growth 5yr Low Est,-5.392857142857143
Growth 5yr High Est,3.357142857142857
Growth 5yr Consensus Est,-1.0178571428571428
Growth 5yr Actual/Est,2.3028711484593836
Growth 3yr Historic,2.136904761904762
