,MGI
% Below High,0.0064
% Held by Institutions,0.8411
52-Wk Range,['5.62 - 10.87']
Annual Dividend $,
Annual Dividend %,
Ask,10.95
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.1
Bid,10.73
Bid Size,500.0
Closing Price,10.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.17
Ex-dividend Date,No dividend
Historical Volatility,0.335
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.0B
"P/E Ratio (TTM, GAAP)",64.27
Prev Close,10.8
Shares Outstanding,96.5M
Short Interest,0.0593
Today's Open,
Volume,223720.0
Volume 10-day Avg,646206.0
Volume Past Day,(Light)
