,FOXA
Price/Earnings (TTM),15.71612
Price/Sales (TTM),1.17123
Price/Book (MRQ),1.47846
Price/Cash Flow (TTM),10.87369
5yr Low,19.81
5yr High,44.95
5yr Avg Return,-0.03505
EPS Growth 5yr,-0.008909
Revenue Growth 5yr,0.0709102
Dividend Growth 5yr,
Short Int Current Month,8536609.0
Short Int Prev Month,8164416.0
Short Int Pct of Float,0.028698199999999997
Days to Cover,2.47692
Float,434.0446
Shares Outstanding,542.6936
Institutions Holding Shares,757.0
% Held by Institutions,1.017178
FCF Growth 5yr,-0.5929447859853693
