,FOXA
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.4334763948497853
Growth 1yr High Est,0.2931034482758621
Growth 1yr Consensus Est,0.3632899215628237
Growth 2yr Low Est,0.07601963455064115
Growth 2yr High Est,0.12921839080459774
Growth 2yr Consensus Est,0.10261901267761944
Growth 5yr Low Est,0.043722628715686246
Growth 5yr High Est,0.10168157876284092
Growth 5yr Consensus Est,0.07270210373926358
Growth 5yr Actual/Est,0.07499686759613627
Growth 3yr Historic,0.032510080645161255
