,FOXA
% Above Low,0.1169
% Held by Institutions,1.0171999999999999
52-Wk Range,['28.02 - 44.95']
Annual Dividend $,0.5
Annual Dividend %,0.016
Ask,31.4
Ask Size,13200.0
B/A Ratio,0.22727272727272727
B/A Size,3000x13200
Beta,0.8
Bid,30.86
Bid Size,3000.0
Closing Price,31.29
Day Change $,0.21
Day Change %,0.0068000000000000005
Day High,31.31
Day Low,30.97
Dividend Pay Date,2022-09-28 00:00:00
"EPS (TTM, GAAP)",1.99
Ex-dividend,2022-08-30 00:00:00
Ex-dividend Date,08/30/22
Historical Volatility,0.319
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,17.0B
"P/E Ratio (TTM, GAAP)",15.72
Prev Close,31.08
Shares Outstanding,542.7M
Short Interest,0.0287
Today's Open,31.11
Volume,901106.0
Volume 10-day Avg,2398128.0
Volume Past Day,(Light)
