,HUBS
Price/Earnings (TTM),
Price/Sales (TTM),8.64446
Price/Book (MRQ),15.54636
Price/Cash Flow (TTM),
5yr Low,73.15
5yr High,866.0
5yr Avg Return,0.3956333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3685143
Dividend Growth 5yr,
Short Int Current Month,2423936.0
Short Int Prev Month,2655797.0
Short Int Pct of Float,0.052465700000000004
Days to Cover,2.15419
Float,46.26215
Shares Outstanding,48.57619
Institutions Holding Shares,817.0
% Held by Institutions,0.919203
FCF Growth 5yr,0.008574816270132605
