,HUBS
% Above Low,0.1843
% Held by Institutions,0.9192
52-Wk Range,['245.03 - 862.00']
Annual Dividend $,
Annual Dividend %,
Ask,300.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,284.95
Bid Size,200.0
Closing Price,290.18
Day Change $,0.88
Day Change %,0.003
Day High,293.07
Day Low,284.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.37
Ex-dividend Date,No dividend
Historical Volatility,0.76
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,14.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,289.3
Shares Outstanding,48.6M
Short Interest,0.0525
Today's Open,287.0
Volume,328146.0
Volume 10-day Avg,882635.0
Volume Past Day,(Light)
