,ANDE
Price/Earnings (TTM),9.41388
Price/Sales (TTM),0.0763
Price/Book (MRQ),1.05846
Price/Cash Flow (TTM),3.71659
5yr Low,10.0
5yr High,59.0
5yr Avg Return,0.05315
EPS Growth 5yr,0.4851151
Revenue Growth 5yr,0.2629724
Dividend Growth 5yr,0.026028600000000002
Short Int Current Month,1031684.0
Short Int Prev Month,1212326.0
Short Int Pct of Float,0.0326823
Days to Cover,4.63237
Float,31.61453
Shares Outstanding,33.50291
Institutions Holding Shares,267.0
% Held by Institutions,0.849967
FCF Growth 5yr,2.1012548560017
