,CHPT
Price/Earnings (TTM),
Price/Sales (TTM),12.18969
Price/Book (MRQ),10.37164
Price/Cash Flow (TTM),
5yr Low,8.5
5yr High,49.48
5yr Avg Return,0.553925
Short Int Current Month,43601237.0
Short Int Prev Month,39906831.0
Short Int Pct of Float,0.1671188
Days to Cover,5.34625
Float,329.0061
Shares Outstanding,339.8676
Institutions Holding Shares,456.0
% Held by Institutions,0.517014
FCF Growth 5yr,0.26331005442933975
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
