,CHPT
% Above Low,0.4106
% Held by Institutions,0.517
52-Wk Range,['8.50 - 26.75']
Annual Dividend $,
Annual Dividend %,
Ask,12.03
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,11.82
Bid Size,200.0
Closing Price,11.99
Day Change $,0.02
Day Change %,0.0017000000000000001
Day High,12.07
Day Low,11.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.94
Ex-dividend Date,No dividend
Historical Volatility,0.8620000000000001
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.97
Shares Outstanding,339.9M
Short Interest,0.1671
Today's Open,11.98
Volume,3362248.0
Volume 10-day Avg,7667585.0
Volume Past Day,(Light)
