,HBI
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.4722222222222222
Growth 1yr High Est,-0.4623655913978495
Growth 1yr Consensus Est,-0.46729390681003585
Growth 2yr Low Est,-0.2992690058479532
Growth 2yr High Est,-0.1561827956989248
Growth 2yr Consensus Est,-0.227725900773439
Growth 5yr Low Est,-0.14101381326880416
Growth 5yr High Est,-0.0668554427932826
Growth 5yr Consensus Est,-0.10393462803104338
Growth 5yr Actual/Est,-0.09084854915233706
Growth 3yr Historic,0.021483150470219453
