,HBI
Price/Earnings (TTM),6.78588
Price/Sales (TTM),0.36273
Price/Book (MRQ),3.50043
Price/Cash Flow (TTM),5.18931
5yr Low,6.4
5yr High,23.33
5yr Avg Return,-0.10635
EPS Growth 5yr,0.0098665
Revenue Growth 5yr,0.024424800000000003
Dividend Growth 5yr,0.0639953
Short Int Current Month,53587405.0
Short Int Prev Month,49087940.0
Short Int Pct of Float,0.155054
Days to Cover,4.349
Float,345.6508
Shares Outstanding,348.9487
Institutions Holding Shares,662.0
% Held by Institutions,0.840861
FCF Growth 5yr,0.007022119667026372
