,HBI
% Above Low,0.057800000000000004
% Held by Institutions,0.8409
52-Wk Range,['6.40 - 17.81']
Annual Dividend $,0.6
Annual Dividend %,0.0886
Ask,6.79
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.5
Bid,6.4
Bid Size,200.0
Closing Price,6.77
Day Change $,0.06
Day Change %,0.0089
Day High,6.85
Day Low,6.68
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",1.0
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.459
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.79
Prev Close,6.71
Shares Outstanding,348.9M
Short Interest,0.1551
Today's Open,6.68
Volume,3326612.0
Volume 10-day Avg,11353959.0
Volume Past Day,(Light)
