,BLUE
% Below High,0.3513
% Held by Institutions,0.7556
52-Wk Range,['2.87 - 11.70']
Annual Dividend $,
Annual Dividend %,
Ask,7.58
Ask Size,800.0
B/A Ratio,0.625
B/A Size,500x800
Beta,1.0
Bid,7.52
Bid Size,500.0
Closing Price,7.59
Day Change $,0.07
Day Change %,0.009300000000000001
Day High,7.61
Day Low,7.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.77
Ex-dividend Date,No dividend
Historical Volatility,1.023
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,629.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.52
Shares Outstanding,82.9M
Short Interest,0.235
Today's Open,7.41
Volume,1043156.0
Volume 10-day Avg,3542552.0
Volume Past Day,(Light)
