,BLUE
Price/Earnings (TTM),
Price/Sales (TTM),122.4055
Price/Book (MRQ),3.95991
Price/Cash Flow (TTM),
5yr Low,2.87
5yr High,236.17
5yr Avg Return,-0.33608333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.0986405
Dividend Growth 5yr,
Short Int Current Month,19267273.0
Short Int Prev Month,22539562.0
Short Int Pct of Float,0.23497050000000003
Days to Cover,4.03062
Float,81.97693
Shares Outstanding,82.90998
Institutions Holding Shares,221.0
% Held by Institutions,0.755587
FCF Growth 5yr,0.11213280747617249
