,BLUE
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.5604670558799
Growth 1yr High Est,-0.7895716945996276
Growth 1yr Consensus Est,-0.6750193752397637
Growth 2yr Low Est,-0.4234972850556995
Growth 2yr High Est,-0.6801840773883094
Growth 2yr Consensus Est,-0.5518406812220045
Growth 5yr Low Est,-0.2442109552449595
Growth 5yr High Est,-0.3347555602847236
Growth 5yr Consensus Est,-0.2894832577648415
Growth 5yr Actual/Est,-0.30319230721281043
Growth 3yr Historic,-0.027426791539809453
