,LC
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-1.878980891719745
Growth 1yr High Est,-1.9333333333333331
Growth 1yr Consensus Est,-1.906157112526539
Growth 2yr Low Est,-1.1568817502076985
Growth 2yr High Est,-0.8880952380952379
Growth 2yr Consensus Est,-1.0224884941514683
Growth 5yr Low Est,7.02155912489615
Growth 5yr High Est,-inf
Growth 5yr Consensus Est,-inf
Growth 5yr Actual/Est,-18.017021676776228
Growth 3yr Historic,-19.654411764705884
