,LC
% Above Low,0.1306
% Held by Institutions,0.8209000000000001
52-Wk Range,['9.34 - 36.98']
Annual Dividend $,
Annual Dividend %,
Ask,12.14
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.9
Bid,10.0
Bid Size,700.0
Closing Price,10.56
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.77
Ex-dividend Date,No dividend
Historical Volatility,0.773
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.81
Prev Close,10.56
Shares Outstanding,105.1M
Short Interest,0.0443
Today's Open,
Volume,401293.0
Volume 10-day Avg,1389912.0
Volume Past Day,(Light)
