,LC
Price/Earnings (TTM),3.80591
Price/Sales (TTM),0.9351
Price/Book (MRQ),0.98959
Price/Cash Flow (TTM),3.28363
5yr Low,4.32
5yr High,49.21
5yr Avg Return,0.026749999999999993
EPS Growth 5yr,
Revenue Growth 5yr,-0.0719572
Dividend Growth 5yr,
Short Int Current Month,4519285.0
Short Int Prev Month,5380378.0
Short Int Pct of Float,0.0443439
Days to Cover,2.02496
Float,102.1512
Shares Outstanding,105.0887
Institutions Holding Shares,282.0
% Held by Institutions,0.820911
FCF Growth 5yr,2.942395258746817
