,RUSHA
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.27419354838709675
Growth 2yr High Est,-0.09921259842519681
Growth 2yr Consensus Est,-0.18670307340614678
Growth 5yr Low Est,-0.27419354838709675
Growth 5yr High Est,-0.09921259842519681
Growth 5yr Consensus Est,-0.18670307340614678
Growth 5yr Actual/Est,0.2930665015499775
Growth 3yr Historic,0.2142166627607218
