,RUSHA
Price/Earnings (TTM),8.24533
Price/Sales (TTM),0.43564
Price/Book (MRQ),1.70483
Price/Cash Flow (TTM),5.15665
5yr Low,18.17
5yr High,60.89
5yr Avg Return,0.11241666666666666
EPS Growth 5yr,0.44300530000000005
Revenue Growth 5yr,0.0399359
Dividend Growth 5yr,
Short Int Current Month,1621432.0
Short Int Prev Month,1839239.0
Short Int Pct of Float,0.0388398
Days to Cover,10.3475
Float,46.57204
Shares Outstanding,54.43686
Institutions Holding Shares,296.0
% Held by Institutions,1.008461
FCF Growth 5yr,0.40296075656052893
