,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Negative Surprise,2.51,,,,,,,2.71,2.51,,
Year ending 12/2020,Positive Surprise,2.04,,-0.1872509960159362,,,,,1.86,2.04,-0.1872509960159362,
Year ending 12/2021,Positive Surprise,4.17,,1.0441176470588234,,,,,3.95,4.17,1.0441176470588234,
Year ending 12/2022,Neutral,,6.27,0.0,6.2,,6.35,,6.27,6.27,0.5035971223021583,
Year ending 12/2023,Neutral,,5.09,0.0,4.5,-0.27419354838709675,5.72,-0.09921259842519681,5.09,5.09,-0.18819776714513559,-0.18670307340614678
