,RUSHA
% Above Low,0.2004
% Held by Institutions,1.0085
52-Wk Range,['42.72 - 60.89']
Annual Dividend $,0.84
Annual Dividend %,0.016200000000000003
Ask,51.31
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.1
Bid,51.2
Bid Size,200.0
Day Change $,-0.6
Day Change %,-0.0116
Day High,51.87
Day Low,51.26
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",6.29
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.31
Last (size),1.0
Last (time),1:18p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.25
Prev Close,51.88
Price,51.28
Shares Outstanding,54.4M
Short Interest,0.0388
Today's Open,51.7
Volume Past Day,(Average)
