,VREX
% Above Low,0.0767
% Held by Institutions,1.1233
52-Wk Range,['18.90 - 32.65']
Annual Dividend $,
Annual Dividend %,
Ask,20.37
Ask Size,1000.0
B/A Ratio,1.9
B/A Size,1900x1000
Beta,0.8
Bid,20.33
Bid Size,1900.0
Closing Price,20.35
Day Change $,-0.91
Day Change %,-0.042800000000000005
Day High,21.43
Day Low,20.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.74
Ex-dividend Date,No dividend
Historical Volatility,0.34500000000000003
Last (size),15600.0
Last (time),3:59p ET 11/28/22
Market Cap,815.6M
"P/E Ratio (TTM, GAAP)",28.87
Prev Close,21.26
Shares Outstanding,40.1M
Short Interest,0.1051
Today's Open,21.21
Volume,293237.0
Volume 10-day Avg,398130.0
Volume Past Day,(Light)
