,VREX
Price/Earnings (TTM),28.87332
Price/Sales (TTM),0.992
Price/Book (MRQ),1.59769
Price/Cash Flow (TTM),13.23798
5yr Low,10.37
5yr High,43.76
5yr Avg Return,0.003349999999999997
EPS Growth 5yr,-0.1171285
Revenue Growth 5yr,0.0424507
Dividend Growth 5yr,
Short Int Current Month,4183579.0
Short Int Prev Month,4255009.0
Short Int Pct of Float,0.1050683
Days to Cover,16.31127
Float,39.83325
Shares Outstanding,40.1
Institutions Holding Shares,267.0
% Held by Institutions,1.1232630000000001
FCF Growth 5yr,-0.3434000935493473
