,TSLA
% Above Low,0.10070000000000001
% Held by Institutions,0.43560000000000004
52-Wk Range,['166.19 - 402.67']
Annual Dividend $,
Annual Dividend %,
Ask,183.92
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,183.8
Bid Size,200.0
Closing Price,182.92
Day Change $,0.06
Day Change %,0.0003
Day High,188.5
Day Low,179.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.25
Ex-dividend Date,No dividend
Historical Volatility,0.652
Last (size),9.0
Last (time),4:00p ET 11/28/22
Market Cap,577.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",56.33
Prev Close,182.86
Shares Outstanding,3.2B
Short Interest,0.0294
Today's Open,179.96
Volume,93038148.0
Volume 10-day Avg,84462460.0
Volume Past Day,(Above Average)
