,TSLA
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-0.1876379690949227
Growth 1yr High Est,-0.3964817320703653
Growth 1yr Consensus Est,-0.292059850582644
Growth 2yr Low Est,-0.03947115846050481
Growth 2yr High Est,0.19525689181235095
Growth 2yr Consensus Est,0.07789286667592307
Growth 5yr Low Est,-0.5905571089752949
Growth 5yr High Est,2.525164677790234
Growth 5yr Consensus Est,0.9673037844074693
Growth 5yr Actual/Est,19.301045044463105
Growth 3yr Historic,19.003333333333334
